Name,Quantity,Unit Cost (INR) (without tax),Cost (INR) (without tax),USD ( without tax ),Link
Raspberry Pi Zero 2W,1,1999,1999,21.96703297,https://www.indianhobbycenter.com/products/raspberry-pi-zero-2-w?variant=40206758051883&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoovkwEUAxd1-lc8z_MrlPggFzXsgOOVCo00cIT2GnDwd1RMM_X1Uvo
12x12 Tactile Push Button Switch with Multicolor Round Cap,3,10,30,0.3409090909,https://electronicspices.com/product/12x12x7-3mm-tactile-push-button-switch-with-multicolor-round-cap-5pcs-each?srsltid=AfmBOor7jEBI8LmZRBgp02fiSTfCPVddbT8Z1vwQ7MwRkX9QRJwBOp_YZyQ
LM393 LDR Light Sensor Module,1,30,30,0.3409090909,https://robocraze.com/products/ldr-sensor-module?variant=40193140424857&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOors72YVA6dd8JuslwU0TCVM5vc3gvBtsnczIbFRHS-pQyHRKxKilmc
Raspberry Pi Camera Module Rev 1.3,1,249,249,2.829545455,https://kitsguru.com/products/raspberry-pi-5mp-camera-module-with-cable?variant=40708955668661&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOooohF_qiTZL5bTPm0sX3G-7uIBE-7AeMgg4pSGpP7YMfiHBRheLQ6g
LED White 5mm ( CAN CHANGE TO ANY LED ),1,1.3,1.3,0.01477272727,https://india.numakers.com/products/pla-filament?variant=44123925676201
3D Printed Parts,1,300,300,3.409090909,SELF PRINTED
Total,,,2609.3,28.90226024,
